CNN,ST_NAME,the_geom,ST_TYPE,CNNTEXT
24846000,FRESNO,POINT (-122.40558828051198 37.798688227263405),ST,24846000
51424000,UNNAMED 077,POINT (-122.4751277232098 37.807408484602355),,51424000
25202000,LARKIN,POINT (-122.418465026792 37.787966285833654),ST,25202000
24738000,HARLAN,POINT (-122.40549818946191 37.790080540230086),PL,24738000
51936000,DONNER,POINT (-122.37333282273445 37.71264490733288),AVE,51936000
27086000,HUGO,POINT (-122.46316736900316 37.76511423987736),ST,27086000
35015000,CORONA,POINT (-122.46659772738636 37.725924474411485),ST,35015000
21162000,STONEMAN,POINT (-122.414173046718 37.74509545266442),ST,21162000
27525000,FULTON,POINT (-122.48633406097754 37.77247157623393),ST,27525000
26042000,STEINER,POINT (-122.4332187382331 37.77749036729351),ST,26042000
33345000,SOMERSET,POINT (-122.40218848804288 37.714731325233245),ST,33345000
21110000,BERNAL HEIGHTS,POINT (-122.4099684788837 37.743049855114286),BLVD,21110000
22629000,MIRAMAR,POINT (-122.45819139108269 37.724317535309154),AVE,22629000
25343000,GRANT,POINT (-122.40758444331668 37.80063802097378),AVE,25343000
30721000,DUNCOMBE,POINT (-122.40756376921443 37.79591029157699),ALY,30721000
22050000,GLORIA,POINT (-122.4416228406476 37.71725817332347),CT,22050000
52307000,I-80 WESTBOUND,POINT (-122.3881258449727 37.788553802008),,52307000
22910000,SAINT FRANCIS,POINT (-122.46624768048522 37.73493714331504),BLVD,22910000
51357000,GREENOUGH,POINT (-122.47499073467287 37.79996118939824),AVE,51357000
25477000,STOCKTON,POINT (-122.41068505013347 37.80789213298332),ST,25477000
20458000,JENNINGS,POINT (-122.39485204882237 37.72017522106324),ST,20458000
51329000,RAMSEL,POINT (-122.47336516411465 37.805718962697554),CT,51329000
23920000,GILBERT,POINT (-122.40421368836917 37.77470378964715),ST,23920000
51190000,UNNAMED 142,POINT (-122.45029798291314 37.79363838932104),,51190000
33655000,22ND,POINT (-122.38548930912604 37.758109477703826),ST,33655000
22977000,SOTELO,POINT (-122.46376155457702 37.74860701498308),AVE,22977000
51206000,RUGER,POINT (-122.44802963685756 37.79743311801623),ST,51206000
26926000,EUCLID,POINT (-122.45187543765608 37.78412674126629),AVE,26926000
27034000,CHRISTOPHER,POINT (-122.46015666975013 37.75373760827913),DR,27034000
34076000,09TH TI,POINT (-122.36763536801024 37.82626562304975),ST,34076000
35055000,PIOCHE,POINT (-122.42288272409347 37.727909038053845),ST,35055000
23944000,05TH,POINT (-122.40493334675597 37.78149950849666),ST,23944000
23211000,21ST,POINT (-122.47822416072836 37.74855090373325),AVE,23211000
26194000,CLAYTON,POINT (-122.44634347474168 37.76041069847342),ST,26194000
20321000,TEDDY,POINT (-122.40209790843399 37.71299484220449),AVE,20321000
20913000,BURROWS,POINT (-122.4110077417776 37.72702632444237),ST,20913000
21539000,WHIPPLE,POINT (-122.44812971874111 37.711116452057595),AVE,21539000
21552000,MISSION,POINT (-122.45266472108827 37.70880633741904),ST,21552000
32916000,WILLARD,POINT (-122.45374467339487 37.7618787844303),ST,32916000
20923000,HAMILTON,POINT (-122.41139440354588 37.730607896282706),ST,20923000
25917000,LINDEN,POINT (-122.42288271252531 37.77641581765694),ST,25917000
23418000,QUINTARA,POINT (-122.49483674770266 37.74781712172072),ST,23418000
33230000,KEY,POINT (-122.39236229405975 37.7154944742),AVE,33230000
26996000,JEFFERSON,POINT (-122.44212570104384 37.80484989199046),ST,26996000
22250000,VALDEZ,POINT (-122.45478367407152 37.7288095960279),AVE,22250000
52239000,OCEAN,POINT (-122.44917813046399 37.72300293793908),AVE,52239000
21558000,FREDSON,POINT (-122.447389311247 37.71377599124781),CT,21558000
26035000,PAGE,POINT (-122.43889910175893 37.771990423818735),ST,26035000
52064000,UNNAMED 120,POINT (-122.43863542766562 37.72815636762969),,52064000
26589000,FILLMORE,POINT (-122.43270617972193 37.78329259162349),ST,26589000
51197000,LIGGETT,POINT (-122.45196195444672 37.79507961560836),AVE,51197000
24965000,JONES,POINT (-122.41335396372544 37.78766359876849),ST,24965000
22692000,GARFIELD,POINT (-122.46446085537549 37.719692186736516),ST,22692000
21689000,SILVER,POINT (-122.42820890172726 37.72854513729364),AVE,21689000
25827000,MARKET,POINT (-122.43729871996628 37.76189547440291),ST,25827000
26223000,CHRISTMAS TREE POINT,POINT (-122.44720982950024 37.7540428911214),RD,26223000
26637000,STEINER,POINT (-122.43567327763009 37.78962925742742),ST,26637000
30758000,MARKET,POINT (-122.4263094381509 37.769602597314986),ST,30758000
30018000,HARRISON,POINT (-122.39409927181224 37.785149309022174),ST,30018000
51873000,TENNESSEE,POINT (-122.38824374076496 37.74772144156408),ST,51873000
34112000,14TH TI,POINT (-122.37018720194682 37.83005546306171),ST,34112000
25303000,WASHINGTON,POINT (-122.42122998102613 37.7932578677921),ST,25303000
27649000,23RD,POINT (-122.48300474810156 37.785834605887814),AVE,27649000
54030000,GROVE,POINT (-122.42871672721986 37.77709965382025),ST,54030000
27940000,47TH,POINT (-122.50686795259321 37.758512653521336),AVE,27940000
26138000,DOUGLASS,POINT (-122.43916730846351 37.75902774775),ST,26138000
27298000,BALBOA,POINT (-122.47150599445501 37.77689255619794),ST,27298000
27787000,40TH,POINT (-122.49949663518599 37.76070860581094),AVE,27787000
21503000,ELLINGTON,POINT (-122.44679998032522 37.71216078107553),AVE,21503000
21932000,ROANOKE,POINT (-122.43134892088953 37.73661789388128),ST,21932000
27683000,30TH,POINT (-122.488517234255 37.757447800947936),AVE,27683000
22944000,WAWONA,POINT (-122.46966702241812 37.738505273360225),ST,22944000
28058000,JACK LONDON,POINT (-122.39409283696301 37.781691312680245),ALY,28058000
34067000,08TH TI,POINT (-122.36847076927326 37.82482777551061),ST,34067000
50284000,FORT MASON 10,POINT (-122.42816361044835 37.805062886690685),,50284000
21968000,SURREY,POINT (-122.43507656205769 37.73557723863514),ST,21968000
27060000,HILLWAY,POINT (-122.45666991172976 37.76381468854904),AVE,27060000
23971000,BRYANT,POINT (-122.409433068639 37.75599844199572),ST,23971000
25462000,COLUMBUS,POINT (-122.41290808538193 37.802183771181305),AVE,25462000
23907000,CLARA,POINT (-122.40014963735547 37.781217520429074),ST,23907000
22588000,MIRAMAR,POINT (-122.45818925661514 37.72365751056449),AVE,22588000
24165000,MISSION,POINT (-122.41951273676816 37.76342927308283),ST,24165000
25191000,FRANKLIN,POINT (-122.42246374351751 37.782685368393565),ST,25191000
52155000,HWY 101 N ON,POINT (-122.40278772099128 37.75280758458405),RAMP,52155000
