,Crash Number,Date Time,Day Of Week,Object 1,Object 2,Street Number,Steet Name,Cross Street,Location,Latitude,Longitude,Coordinates,Street_ID
4329,31232,08/30/2012 11:04:00 AM,Sunday,Taxi,Bicycle,,DIVINITY AVE,KIRKLAND ST," DIVINITY AVE & KIRKLAND ST Cambridge, MA",42.376694,-71.113814,"(42.376694, -71.113814)",1944
4333,31223,09/01/2012 02:15:00 PM,Saturday,Auto,Bicycle,,Massachusetts Ave,HUDSON ST," Massachusetts Ave & HUDSON ST Cambridge, MA",42.382235,-71.119682,"(42.382235, -71.119682)",717
4348,31239,09/05/2012 07:32:00 AM,Wednesday,Auto,Bicycle,,Hampshire St,Portland St," Hampshire St & Portland St Cambridge, MA",42.366295,-71.091782,"(42.366295, -71.091782)",2431
4356,31248,09/05/2012 07:11:00 PM,Wednesday,Auto,Bicycle,,KIRKLAND ST,IRVING ST," KIRKLAND ST & IRVING ST Cambridge, MA",42.377363,-71.110643,"(42.377363, -71.110643)",2040
4359,31252,09/07/2012 12:00:00 PM,Friday,Auto,Bicycle,,MARION ST,JEFFERSON ST," MARION ST & JEFFERSON ST Cambridge, MA",42.373001,-71.088785,"(42.373001, -71.088785)",67
4364,31267,09/07/2012 07:30:00 AM,Friday,Auto,Bicycle,,Putnam Ave,Brookline St," Putnam Ave & Brookline St Cambridge, MA",42.357369,-71.108023,"(42.357369, -71.108023)",682
4367,31258,09/08/2012 06:30:00 PM,Saturday,Auto,Bicycle,1668,Massachusetts Ave,,"1668 Massachusetts Ave Cambridge, MA",42.382011,-71.119891,"(42.382011, -71.119891)",1705
4391,31282,09/14/2012 01:34:00 PM,Friday,Auto,Bicycle,141,PROSPECT ST,,"141 PROSPECT ST Cambridge, MA",42.368735,-71.10163,"(42.368735, -71.10163)",1096
4398,31293,09/15/2012 04:09:00 PM,Saturday,Auto,Bicycle,2055,Massachusetts Ave,,"2055 Massachusetts Ave Cambridge, MA",42.391393,-71.122276,"(42.391393, -71.122276)",1793
4399,31294,09/15/2012 10:38:00 AM,Saturday,Auto,Bicycle,,DOVER ST,Massachusetts Ave," DOVER ST & Massachusetts Ave Cambridge, MA",42.394524,-71.127012,"(42.394524, -71.127012)",2249
4404,31362,09/17/2012 09:49:00 AM,,Auto,Bicycle,,Massachusetts Ave,PEARL ST," Massachusetts Ave & PEARL ST Cambridge, MA",42.36471,-71.102567,"(42.36471, -71.102567)",1876
4414,31304,09/18/2012 08:51:00 PM,Tuesday,Auto,Bicycle,1035,Cambridge St,Columbia St,"1035 Cambridge St Cambridge, MA",42.373494,-71.093704,"(42.373494, -71.093704)",795
4419,31309,09/19/2012 11:45:00 AM,Wednesday,Taxi,Bicycle,,Hampshire St,Norfolk St," Hampshire St & Norfolk St Cambridge, MA",42.371015,-71.09753,"(42.371015, -71.09753)",930
4420,31308,09/20/2012 08:29:00 AM,Thursday,Auto,Bicycle,,Hampshire St,Portland St," Hampshire St & Portland St Cambridge, MA",42.366295,-71.091782,"(42.366295, -71.091782)",2431
4421,31310,09/20/2012 05:04:00 PM,Thursday,Auto,Bicycle,,Broadway,Ware St," Broadway & Ware St Cambridge, MA",42.373833,-71.112444,"(42.373833, -71.112444)",515
4424,31337,09/20/2012 08:48:00 PM,Thursday,Auto,Bicycle,100,Putnam Ave,,"100 Putnam Ave Cambridge, MA",42.367022,-71.113316,"(42.367022, -71.113316)",2323
4425,31313,09/21/2012 08:49:00 AM,Friday,Auto,Bicycle,211,Massachusetts Ave,,"211 Massachusetts Ave Cambridge, MA",42.361422,-71.096684,"(42.361422, -71.096684)",2581
4429,31316,09/21/2012 12:30:00 PM,Friday,Auto,Bicycle,,GARDEN CT,LINNAEAN ST," GARDEN CT & LINNAEAN ST Cambridge, MA",42.362705,-71.089949,"(42.362705, -71.089949)",1143
4441,31328,09/23/2012 11:29:00 PM,Sunday,Auto,Bicycle,,PROSPECT ST,Bishop Allen Dr," PROSPECT ST & Bishop Allen Dr Cambridge, MA",42.366343,-71.10316,"(42.366343, -71.10316)",1179
